Year,Flächen,Value
2015,Vertragsnaturschutzprogramm,81.29
2015,Grünlandfläche Gesamt,798.89
2016,Vertragsnaturschutzprogramm,94.12
2016,Grünlandfläche Gesamt,799.28
2017,Vertragsnaturschutzprogramm,135.05
2017,Grünlandfläche Gesamt,771.25
2018,Vertragsnaturschutzprogramm,176.74
2018,Grünlandfläche Gesamt,737.22
2019,Vertragsnaturschutzprogramm,187.52
2019,Grünlandfläche Gesamt,738.16
2020,Vertragsnaturschutzprogramm,185.99
2020,Grünlandfläche Gesamt,727.24
2021,Vertragsnaturschutzprogramm,180.22
2021,Grünlandfläche Gesamt,728.47
2022,Vertragsnaturschutzprogramm,186.38
2022,Grünlandfläche Gesamt,741.63
2023,Vertragsnaturschutzprogramm,213.63
2023,Grünlandfläche Gesamt,739.29
2024,Vertragsnaturschutzprogramm,212.36
2024,Grünlandfläche Gesamt,761.7
