Year,Einrichtung,Value
2019,Integrationsbeauftragte,16.0
2019,VHS,5.0
2019,Stadtbücherei,92.0
2019,Kulturamt,2.0
2019,gesamt,115.0
2020,Integrationsbeauftragte,17.0
2020,VHS,5.0
2020,Stadtbücherei,15.0
2020,Kulturamt,0.0
2020,gesamt,37.0
2021,Integrationsbeauftragte,16.0
2021,VHS,5.0
2021,Stadtbücherei,5.0
2021,Kulturamt,0.0
2021,gesamt,26.0
2022,Integrationsbeauftragte,16.0
2022,VHS,5.0
2022,Stadtbücherei,24.0
2022,Kulturamt,2.0
2022,gesamt,47.0
2023,Integrationsbeauftragte,18.0
2023,VHS,5.0
2023,Stadtbücherei,60.0
2023,Kulturamt,2.0
2023,gesamt,85.0
2024,Integrationsbeauftragte,
2024,VHS,5.0
2024,Stadtbücherei,
2024,Kulturamt,2.0
2024,gesamt,
