Year,Art der Diskriminierung,Value
2023,ethnische Herkunft / rassistische Gründe,29
2023,Geschlecht,4
2023,Religion / Weltanschauung,3
2023,Behinderung / Beeinträchtigung,5
2023,Äußeres,3
2023,Queer / Geschlechtsidentität / sexuelle Orientierung,3
2023,Alter,1
2023,Gesamt,48
2024,ethnische Herkunft / rassistische Gründe,51
2024,Geschlecht,14
2024,Religion / Weltanschauung,3
2024,Behinderung / Beeinträchtigung,6
2024,Äußeres,1
2023,Queer / Geschlechtsidentität / sexuelle Orientierung,5
2024,Alter,2
2024,Gesamt,68
