Year,Region,Value
2019,Ingolstadt,67.0
2019,Landkreis Eichstätt,62.5
2019,Landkreis-Neuburg Schrobenhausen,62.7
2019,Landkreis Pfaffenhofen a. d. Ilm,63.2
2020,Ingolstadt,67.2
2020,Landkreis Eichstätt,60.8
2020,Landkreis-Neuburg Schrobenhausen,62.4
2020,Landkreis Pfaffenhofen a. d. Ilm,61.2
2021,Ingolstadt,65.0
2021,Landkreis Eichstätt,57.8
2021,Landkreis-Neuburg Schrobenhausen,62.4
2021,Landkreis Pfaffenhofen a. d. Ilm,65.1
2022,Ingolstadt,63.1
2023,Ingolstadt,62.5
2024,Ingolstadt,65.4
2024,Landkreis Eichstätt,48.4
2024,Landkreis-Neuburg Schrobenhausen,63.1
2024,Landkreis Pfaffenhofen a. d. Ilm,66.0
