Year,Geschlecht / Herkunft,Value
2019,männlich,53.53
2019,weiblich,54.56
2019,mit Migrationshintergrund,45.44
2019,ohne Migrationshintergrund,62.84
2020,männlich,70.56
2020,weiblich,74.82
2020,mit Migrationshintergrund,69.42
2020,ohne Migrationshintergrund,75.91
2021,männlich,70.44
2021,weiblich,73.64
2021,mit Migrationshintergrund,65.28
2021,ohne Migrationshintergrund,81.04
2022,männlich,64.13
2022,weiblich,68.87
2022,mit Migrationshintergrund,61.79
2022,ohne Migrationshintergrund,73.14
2023,männlich,68.59
2023,weiblich,69.57
2023,mit Migrationshintergrund,66.35
2023,ohne Migrationshintergrund,72.74
2024,männlich,65.65
2024,weiblich,67.06
2024,mit Migrationshintergrund,62.57
2024,ohne Migrationshintergrund,71.43
