Year,Träger,Value
2019,gesamt,99.71
2019,freie Trägerschaft,69.21
2019,städtische Trägerschaft,30.5
2020,gesamt,99.57
2020,freie Trägerschaft,68.08
2020,städtische Trägerschaft,31.49
2021,gesamt,98.52
2021,freie Trägerschaft,67.96
2021,städtische Trägerschaft,30.56
2022,gesamt,96.63
2022,freie Trägerschaft,65.25
2022,städtische Trägerschaft,31.38
2023,gesamt,94.37
2023,freie Trägerschaft,63.59
2023,städtische Trägerschaft,30.78
2024,gesamt,96.65
2024,freie Trägerschaft,65.0
2024,städtische Trägerschaft,31.65
