Year,Ladesäule,Value
2016,Normalladesäule,36
2016,Schnellladesäule,4
2016,Gesamt,40
2017,Normalladesäule,36
2017,Schnellladesäule,4
2017,Gesamt,40
2018,Normalladesäule,68
2018,Schnellladesäule,4
2018,Gesamt,72
2019,Normalladesäule,190
2019,Schnellladesäule,8
2019,Gesamt,198
2020,Normalladesäule,313
2020,Schnellladesäule,21
2020,Gesamt,334
2021,Normalladesäule,364
2021,Schnellladesäule,39
2021,Gesamt,403
2022,Normalladesäule,621
2022,Schnellladesäule,67
2022,Gesamt,688
2023,Normalladesäule,1484
2023,Schnellladesäule,97
2023,Gesamt,1581
2024,Normalladesäule,1334
2024,Schnellladesäule,139
2024,Gesamt,1482
