Year,Region,Value
2016,Ingolstadt,128101
2016,Bayern,44829
2016,Deutschland,38812
2017,Ingolstadt,127492
2017,Bayern,46726
2017,Deutschland,40300
2018,Ingolstadt,127385
2018,Bayern,47578
2018,Deutschland,41386
2019,Ingolstadt,137483
2019,Bayern,49156
2019,Deutschland,42541
2020,Ingolstadt,124982
2020,Bayern,48013
2020,Deutschland,41481
2021,Ingolstadt,130509
2021,Bayern,50643
2021,Deutschland,44190
2022,Ingolstadt,140365
2022,Bayern,54007
2022,Deutschland,47183
2023,Deutschland,49525
2024,Deutschland,50819
