Year,Präventionsart,Value
2019,Gesamt,82
2020,Gesamt,79
2021,universelle Prävention,75
2021,selektive Prävention,0
2021,indizierte Prävention,0
2021,Verhältnisprävention,8
2021,Gesamt,83
2022,universelle Prävention,79
2022,selektive Prävention,0
2022,indizierte Prävention,1
2022,Verhältnisprävention,11
2022,Gesamt,91
2023,universelle Prävention,87
2023,selektive Prävention,0
2023,indizierte Prävention,4
2023,Verhältnisprävention,8
2023,Gesamt,99
2024,universelle Prävention,74
2024,selektive Prävention,0
2024,indizierte Prävention,4
2024,Verhältnisprävention,7
2024,Gesamt,85
