Value,Disaggregation combinations using this value,Number of indicators
Alle - gesamt mit und ohne Abschluss,1,1
Alle - mit akademischem Abschluss,1,1
Alle - mit anerkanntem Berufsabschluss,1,1
Alle - ohne berufl. Ausbildungsabschluss,1,1
Ausländer - gesamt mit und ohne Abschluss,1,1
Ausländer - mit akademischem Abschluss,1,1
Ausländer - mit anerkanntem Berufsabschluss,1,1
Ausländer - ohne berufl. Ausbildungsabschluss,1,1
Deutsche - gesamt mit und ohne Abschluss,1,1
Deutsche - mit akademischem Abschluss,1,1
Deutsche - mit anerkanntem Berufsabschluss,1,1
Deutsche - ohne berufl. Ausbildungsabschluss,1,1
